@relation soybean

@attribute date {april, may, june, july, august, september, october}
@attribute plant_stand {normal, lt_normal}
@attribute precip {lt_norm, norm, gt_norm}
@attribute temp {lt_norm, norm, gt_norm}
@attribute hail {yes, no}
@attribute crop_hist {diff_lst_year, same_lst_yr, same_lst_two_yrs, same_lst_sev_yrs}
@attribute area_damaged {scattered, low_areas, upper_areas, whole_field}
@attribute severity {minor, pot_severe, severe}
@attribute seed_tmt {none, fungicide, other}
@attribute germination {p90_100, p80_89, lt_80}
@attribute plant_growth {norm, abnorm}
@attribute leaves {norm, abnorm}
@attribute leafspots_halo {absent, yellow_halos, no_yellow_halos}
@attribute leafspots_marg {w_s_marg, no_w_s_marg, dna}
@attribute leafspot_size {lt_1_8, gt_1_8, dna}
@attribute leaf_shread {absent, present}
@attribute leaf_malf {absent, present}
@attribute leaf_mild {absent, upper_surf, lower_surf}
@attribute stem {norm, abnorm}
@attribute lodging {yes, no}
@attribute stem_cankers {absent, below_soil, above_soil, above_sec_nde}
@attribute canker_lesion {dna, brown, dk_brown_blk, tan}
@attribute fruiting_bodies {absent, present}
@attribute external_decay {absent, firm_and_dry, watery}
@attribute mycelium {absent, present}
@attribute int_discolor {none, brown, black}
@attribute sclerotia {absent, present}
@attribute fruit_pods {norm, diseased, few_present, dna}
@attribute fruit_spots {absent, colored, brown_w_blk_specks, distort, dna}
@attribute seed {norm, abnorm}
@attribute mold_growth {absent, present}
@attribute seed_discolor {absent, present}
@attribute seed_size {norm, lt_norm}
@attribute shriveling {absent, present}
@attribute roots {norm, rotted, galls_cysts}

@attribute Class {diaporthe_stem_canker, charcoal_rot, rhizoctonia_root_rot, phytophthora_rot, brown_stem_rot, powdery_mildew, downy_mildew, brown_spot, bacterial_blight, bacterial_pustule, purple_seed_stain, anthracnose, phyllosticta_leaf_spot, alternarialeaf_spot, frog_eye_leaf_spot, diaporthe_pod_and_stem_blight, cyst_nematode, two_four_d_injury, herbicide_injury}

@data

october,normal,gt_norm,norm,yes,same_lst_yr,low_areas,pot_severe,none,p90_100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
august,normal,gt_norm,norm,yes,same_lst_two_yrs,scattered,severe,fungicide,p80_89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
july,normal,gt_norm,norm,yes,same_lst_yr,scattered,severe,fungicide,lt_80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,dna,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
july,normal,gt_norm,norm,yes,same_lst_yr,scattered,severe,none,p80_89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,dna,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
october,normal,gt_norm,norm,yes,same_lst_two_yrs,scattered,pot_severe,none,lt_80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
september,normal,gt_norm,norm,yes,same_lst_sev_yrs,scattered,pot_severe,none,p80_89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,dna,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
september,normal,gt_norm,norm,yes,same_lst_two_yrs,scattered,pot_severe,fungicide,p90_100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
august,normal,gt_norm,norm,no,same_lst_yr,scattered,pot_severe,none,lt_80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
october,normal,gt_norm,norm,yes,same_lst_sev_yrs,scattered,pot_severe,fungicide,p80_89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
august,normal,gt_norm,norm,yes,same_lst_two_yrs,scattered,severe,none,lt_80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above_sec_nde,brown,present,firm_and_dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe_stem_canker
october,normal,lt_norm,gt_norm,yes,same_lst_yr,whole_field,pot_severe,fungicide,p90_100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,norm,charcoal_rot
