Analfabetismo	Mortalidade	ExpectVida	Renda	IDH
continuous	continuous	continuous	continuous	discrete
				class
4	8	78	25880	primeira
5	6	78	19510	primeira
10	35	71	4180	segunda
55	86	57	230	terceira
34	5	67	340	terceira
44	44	65	1200	terceira
10	37	69	1280	segunda
18	38	70	1330	terceira
29	42	67	1360	terceira
15	13	74	1540	segunda
38	34	69	1580	terceira
9	20	70	1670	segunda
11	48	65	2110	terceira
5	13	77	2440	segunda
9	20	73	2580	segunda
17	71	60	770	terceira
9	32	71	2760	segunda
17	56	67	2970	segunda
3	19	73	4660	segunda
4	23	72	8110	segunda
7	7	75	6450	primeira
3	14	72	5420	segunda
10	4	76	4680	segunda
7	6	76	4540	primeira
7	5	68	4050	primeira
2	8	78	5870	primeira
