date	plant_stand	precip	temp	hail	crop_hist	area_damaged	severity	seed_tmt	germination	plant_growth	leaves	leafspots_halo	leafspots_marg	leafspot_size	leaf_shread	leaf_malf	leaf_mild	stem	lodging	stem_cankers	canker_lesion	fruiting_bodies	external_decay	mycelium	int_discolor	sclerotia	fruit_pods	fruit_spots	seed	mold_growth	seed_discolor	seed_size	shriveling	roots	Class
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																																			class
october	normal	gt_norm	norm	yes	same_lst_yr	low_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	no	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
august	normal	gt_norm	norm	yes	same_lst_two_yrs	scattered	severe	fungicide	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
july	normal	gt_norm	norm	yes	same_lst_yr	scattered	severe	fungicide	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	dna	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
october	normal	gt_norm	norm	yes	same_lst_two_yrs	scattered	pot_severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
september	normal	gt_norm	norm	yes	same_lst_sev_yrs	scattered	pot_severe	none	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	dna	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
september	normal	gt_norm	norm	yes	same_lst_two_yrs	scattered	pot_severe	fungicide	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	no	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
august	normal	gt_norm	norm	no	same_lst_yr	scattered	pot_severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
october	normal	gt_norm	norm	yes	same_lst_sev_yrs	scattered	pot_severe	fungicide	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
